Bits, Offset
0, 0
1, 0
2, 10298216
3, 20945582
4, 25558779
5, 20967741
6, 14847539
7, 11572236
8, 9028440
9, 2830948
10, 2248293
11, 590767
12, 99686
13, 97415
14, 182794
15, 284949
16, 660003
17, 827251
18, 360
19, 0
