Bits, Offset
0, 0
1, 0
2, 0
3, 371513
4, 174268
5, 96421
6, 163951
7, 101861
8, 158528
9, 27296
10, 97810
11, 45
12, 76970
13, 299817
14, 2933
15, 0
16, 0
17, 0
18, 0
19, 0
