Bits, Offset
0, 0
1, 0
2, 127203
3, 325477
4, 95321
5, 94497
6, 163669
7, 101847
8, 158528
9, 27296
10, 97810
11, 45
12, 76970
13, 299817
14, 2933
15, 0
16, 0
17, 0
18, 0
19, 0
