Bits, Offset
0, 0
1, 0
2, 127203
3, 325478
4, 95326
5, 94503
6, 163670
7, 101851
8, 158528
9, 27296
10, 97810
11, 45
12, 76970
13, 299817
14, 2933
15, 0
16, 0
17, 0
18, 0
19, 0
