Bits, Offset
0, 0
1, 0
2, 18209646
3, 31267774
4, 37119209
5, 31586449
6, 15503071
7, 11763012
8, 12492436
9, 5915430
10, 5814122
11, 2309001
12, 1408760
13, 877219
14, 470140
15, 489198
16, 469566
17, 471983
18, 574161
19, 331487
