Bits, Offset
0, 0
1, 0
2, 0
3, 3823990
4, 5524985
5, 5286830
6, 4526288
7, 3576161
8, 3890656
9, 1704556
10, 1265223
11, 536967
12, 212403
13, 86864
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
