Bits, Offset
0, 0
1, 0
2, 537417
3, 2352290
4, 1875990
5, 2996069
6, 2998086
7, 2737809
8, 1463693
9, 561695
10, 355810
11, 106433
12, 10297
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
