Bits, Offset
0, 0
1, 0
2, 1574598
3, 3823079
4, 4523665
5, 5089342
6, 4261479
7, 3599331
8, 3793892
9, 1668161
10, 1292033
11, 510076
12, 212403
13, 86864
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
