Bits, Offset
0, 0
1, 0
2, 537417
3, 2352291
4, 1875996
5, 2996070
6, 2998087
7, 2737817
8, 1463693
9, 561695
10, 355810
11, 106433
12, 10297
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
