Bits, Offset
0, 0
1, 0
2, 2463566
3, 1317034
4, 6330679
5, 2041600
6, 6509853
7, 2563689
8, 368648
9, 128738
10, 27544
11, 3906
12, 239
13, 11
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
