Bits, Offset
0, 0
1, 0
2, 0
3, 3824309
4, 5520055
5, 5287420
6, 4526549
7, 3576380
8, 3891247
9, 1704709
10, 1265546
11, 537001
12, 212403
13, 86867
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
